"anio","1","2","3","4","5","6","7","8","9","10","11","12"
1915,25.3000011444092,25.8000011444092,25.8999996185303,25.5,26,25.8999996185303,26.5,26.6000003814697,25.5,25.6000003814697,25.3000011444092,25.2000007629395
1916,25.5,25.8000011444092,25.8000011444092,26.1000003814697,25.7000007629395,25.6000003814697,26.1000003814697,25.3000011444092,25.5,24.5,24.7000007629395,24.3000011444092
1917,24.8000011444092,24.8000011444092,25.7000007629395,25.5,25.1000003814697,24.7000007629395,25.7000007629395,25.2000007629395,25,24.5,24.7000007629395,24.6000003814697
1918,25.1000003814697,25.3999996185303,24.8000011444092,25,24.1000003814697,24.3999996185303,25.6000003814697,25.8000011444092,25.1000003814697,24.8999996185303,24.6000003814697,24.5
1919,25.2000007629395,25.7000007629395,25.8999996185303,25.3999996185303,25.1000003814697,25.2000007629395,25.6000003814697,25.3999996185303,25,24.3999996185303,24.7000007629395,24.6000003814697
1920,25.2000007629395,25.7000007629395,25.8999996185303,25.3999996185303,25,25.2000007629395,25.6000003814697,25.3999996185303,25,24.5,24.7000007629395,24.5
1921,25.3000011444092,25.6000003814697,25,24.8999996185303,24.3999996185303,24.7000007629395,25.6000003814697,24.8999996185303,24.8999996185303,23.7000007629395,24.5,24.3000011444092
1922,25.1000003814697,25.3000011444092,25.1000003814697,25.3000011444092,24.6000003814697,24.3000011444092,25.1000003814697,25.2000007629395,24.8000011444092,24,24.1000003814697,24
1923,24.5,25.3000011444092,25.6000003814697,25.2000007629395,24.6000003814697,25.2000007629395,24.8999996185303,25.1000003814697,25.2000007629395,24.1000003814697,24.8999996185303,24.3999996185303
1924,25.8999996185303,25.8999996185303,26.7000007629395,25.8999996185303,25.3000011444092,24.6000003814697,25,25.6000003814697,24.2000007629395,24,24.3000011444092,24.1000003814697
1925,24.5,24.7000007629395,24.7000007629395,25.2000007629395,25.1000003814697,24.8999996185303,25.2000007629395,25,24.8000011444092,24.7000007629395,24.6000003814697,24.8000011444092
1926,25.7000007629395,26.3999996185303,26.5,26.5,25.8000011444092,25.7000007629395,25.6000003814697,25.3000011444092,24.7000007629395,24.5,24.8999996185303,24.2000007629395
1927,24.8999996185303,25.3000011444092,25.7000007629395,25,24.6000003814697,24.8000011444092,24.6000003814697,25.5,24.8000011444092,24.3000011444092,25.1000003814697,24.6000003814697
1928,25.1000003814697,26,25.6000003814697,25.7000007629395,25,25,25.5,25.2000007629395,24.8999996185303,24.5,24.7000007629395,24.3000011444092
1929,25.3999996185303,26,25.7000007629395,25.3999996185303,24.7000007629395,24.8999996185303,25.1000003814697,25.3000011444092,25.1000003814697,24.6000003814697,24.8999996185303,24.7000007629395
1930,26.1000003814697,27.3000011444092,27,27,25.7000007629395,25.3999996185303,25.8000011444092,25.6000003814697,25.7000007629395,24,25.2000007629395,25.2000007629395
1931,26,26.1000003814697,26.7000007629395,26.5,25,25,24.5,25.7000007629395,24.6000003814697,25.3000011444092,25.3999996185303,23.8999996185303
1932,24.3999996185303,25.3000011444092,25.3000011444092,26.1000003814697,23.7000007629395,24.3000011444092,25.2000007629395,24.7000007629395,24.7000007629395,23.3000011444092,24.7000007629395,24.1000003814697
1933,24.5,25.3999996185303,25.5,25.3999996185303,25,24.8000011444092,25.7000007629395,26.3000011444092,26.3999996185303,24.8999996185303,24.3999996185303,24.2000007629395
1934,25.5,25.5,25.7000007629395,26.8999996185303,25.8999996185303,25.6000003814697,25.7000007629395,26.8999996185303,26.1000003814697,25,25.2000007629395,25.2000007629395
1935,25.7000007629395,25.5,26.1000003814697,26.2000007629395,25.1000003814697,25.7000007629395,26.6000003814697,25.6000003814697,26.3000011444092,26,25.2000007629395,25.8999996185303
1936,27,27.2000007629395,27.8000011444092,27.2000007629395,25.8999996185303,26,26.3000011444092,27.2000007629395,26.8000011444092,25.3999996185303,26.8000011444092,25.5
1937,25.6000003814697,25.8000011444092,27.6000003814697,27.1000003814697,26,26.2000007629395,26.7000007629395,26.8000011444092,25.3999996185303,25.7000007629395,25.6000003814697,25.7000007629395
1938,25.8999996185303,26.2000007629395,25.6000003814697,25,25.1000003814697,25.8000011444092,26.2000007629395,25.3999996185303,26.2000007629395,25.3000011444092,25.3999996185303,24.8999996185303
1939,26.3000011444092,26.5,26.3999996185303,25.8999996185303,26.1000003814697,26.3000011444092,26.5,27.7000007629395,27.1000003814697,25.5,26.1000003814697,26.5
1940,26,27.3000011444092,27.6000003814697,27.3999996185303,27.1000003814697,26.3999996185303,27.2000007629395,27.7000007629395,26.5,25.8999996185303,26.2000007629395,25.3999996185303
1941,26.3000011444092,26.8000011444092,27.5,26.2000007629395,25.3999996185303,26.3999996185303,26.3000011444092,26.8999996185303,26.6000003814697,26.3999996185303,27.3000011444092,27.1000003814697
1942,26.6000003814697,26.7000007629395,26.3999996185303,26.1000003814697,25.6000003814697,26.3999996185303,26.3999996185303,26.2000007629395,26,25,25.1000003814697,25.2000007629395
