NOMBRE,num_arboles,Temp_media,Temp_max,Temp_min
U.P.B,8,38.236098122595074,43.35808426451429,34.34996686941663
Cerro Nutibara,213,35.35539136067788,45.37322997145935,29.804594619114958
Mirador del Doce,0,40.93097673402525,43.168012633127574,35.65104351648355
El Nogal-Los Almendros,6,38.75081324102823,41.697966789117295,35.24459646071121
El Triunfo,0,36.941627130761994,42.533003903316924,30.275538443553433
Enciso,4,37.662225676243914,39.99965660131413,31.789572627580267
La Esperanza,2,40.11620444430476,43.085682923522874,35.80203083518429
Las Estancias,1,35.000279333576756,40.001588554331285,24.4350338072752
Pablo VI,0,38.888899812800645,40.408481555704846,36.63825697453212
Ecoparque Cerro El Volador,13,31.31485910372493,38.13594406130904,27.289674975354977
Versalles No.1,0,33.43278916885531,37.56706673634852,26.076277873737286
Altos del Poblado,2,28.972529987347194,35.763392317259274,22.462390481328146
Universidad Nacional,16,35.48061995081138,38.93427471413681,31.5904358040294
El Diamante,9,39.26839887033497,42.54608152849314,33.592355174172916
Palenque,6,35.90337701692347,40.51087361774204,30.16512144367699
Barrio Colombia,5,42.045449060747316,47.44350980102796,35.25470189770552
Rosales,22,39.43273328377948,44.35733491485524,34.99790446658078
Campo Amor,47,42.23604940721448,48.64486953486032,33.819282083057935
La Aguacatala,17,36.60777813202419,40.38232635430327,31.640814368719877
El Pinal,2,36.6370271964425,40.21662653533586,28.34866678559062
Fuente Clara,0,36.080214311529794,39.81686687806472,31.342109151247893
Santo Domingo Savio No.2,1,30.34921523257797,36.35158896405615,22.96454217378377
Las Granjas,36,34.40173963424551,38.54179688076896,26.401584235486816
Barrios de Jesús,2,32.416109631798165,38.34682110921919,24.16426720763589
La Alpujarra,50,38.315379531252994,45.13129360790041,33.59621904634344
Corazón de Jesús,90,41.5091477515634,45.95072673045475,34.63262222487774
Buenos Aires,0,39.72573968455904,42.729911640884445,36.09003614108188
Toscana,2,38.706746024775825,42.5905158941865,32.61881397378908
Los Pinos,23,37.85034310952361,40.941544128601834,34.357545831565915
Gerona,2,38.728988337448534,41.72471640323286,35.55489318556643
Santa Teresita,26,38.27105377066571,42.53344981668649,29.917240625169008
Francisco Antonio Zea,30,39.85536828490953,43.41262399723167,35.540626619107094
La Mota,22,36.89116259764513,41.00321707930495,31.739045399548264
La Hondonada,6,33.306262041490754,38.355589054775834,27.111343516367846
LLanaditas,0,29.83000977270168,35.45383874473125,23.14852084170858
Nuevos Conquistadores,0,38.051030168037485,41.68919885091247,31.83207489445442
La América,9,37.64828350088864,41.57372920915848,33.10803663848465
Loreto,6,34.27892924496639,42.08227102263843,22.9508701427346
Picachito,4,38.82220607953898,41.92266450201088,31.4749662183509
Miranda,2,39.783593029791454,42.20249616818021,36.15527582890287
U.D. Atanasio Girardot,35,39.22730212805179,50.15459410136084,32.748847309632325
Patio Bonito,50,36.12250932411531,41.37771317630097,32.64274005645042
Manrique Oriental,6,36.11888615857305,38.9877740605367,31.624616061069986
La Esperanza No.2,0,30.645150433214454,33.33570658680793,25.926330852421895
Pedregal,199,38.606492131929166,44.2420139288638,32.30197841015288
Prado,16,39.18247505400886,41.92712273036559,35.40241980433936
El Diamante No.2,35,31.480078896320528,36.99908087848295,27.414209769874127
Nueva Villa del Aburrá,38,37.04685710227142,39.86412477208986,34.72163938920094
Villa del Socorro,1,37.28519662567088,39.82920153666824,32.74052519224612
Trece de Noviembre,1,34.73614819907028,38.250224875932005,28.469337659258255
Doce de Octubre No.1,161,39.53468056058386,42.79842054445824,35.787021282325085
La Loma de Los Bernal,11,34.91627721156337,40.213060027061836,30.843078369627232
Juan Pablo II,5,32.85161728607307,35.64361303732847,25.52374752271996
Villa Flora,10,36.00989823253518,39.5446142287861,32.823152204023025
Tenche,10,43.99960646456526,47.018189194180124,37.982578994163156
Fátima,18,40.5099697665869,45.91892420900053,34.01485222468667
Oleoducto,1,37.91119412197955,42.45944216720026,31.679601456555716
Boyacá,2,38.75737553856702,41.88001345496054,34.245642897366274
Aldea Pablo VI,3,29.732886724219853,32.939364837229554,26.28165627776624
Villa Hermosa,2,35.0915869004965,39.65904349818828,26.74368340010298
Las Lomas No.1,20,33.028115494640176,38.24517207681303,28.75630285165125
Santa Cruz,3,38.92353592748828,41.11764634684784,34.38548443903788
Betania,14,35.19947615803841,43.12238945746222,28.52566077583435
Kennedy,1,40.25364296550434,43.26386575463615,34.49010560897208
Santa Fé,66,41.56770370419321,49.23648425573159,34.05081579138632
Terminal de Transporte,1,37.916394741731786,41.91434226638503,33.23792150107
Facultad de Minas,15,34.633828892040654,38.62457229814709,31.10715743785032
La Rosa,1,38.95028296215536,41.07246917620883,34.21280022512316
El Tesoro,41,30.624889544445,36.43154100172896,22.72052528496945
Monteclaro,0,32.80410550296219,38.74762110661049,26.991712801664207
La Mansión,5,36.89257597365746,39.113795020266664,32.91543862689031
La Florida,54,33.34800065744483,37.98287630910879,29.771306172207893
Diego Echavarría,32,37.821227031744854,42.03233830350461,32.992418354564805
Los Alcázares,21,36.76105064386321,41.276658661549774,33.91944493520892
Campo Valdés No.1,1,38.392888227251895,40.336108728866776,35.20655232979707
Alfonso López,32,39.42462406607644,43.155232215940494,32.469015582036796
Olaya Herrera,0,33.506367490817645,39.96815138566535,28.251476063686756
Facultad Veterinaria y Zootecnia U.de.A.,0,33.323899497714294,36.55354951463742,28.873109963525415
Astorga,8,37.94328387679639,41.79753523183299,34.37983736781252
Caribe,14,39.000991711038644,45.36505634480259,29.72360242193913
Aranjuez,8,38.41626099746962,41.500613179481164,33.384450519444655
Manrique Central No.2,5,36.97831398809555,39.44623462976436,32.73443225779427
San Antonio,1,33.00737348327806,37.34400375800868,25.87847852206609
El Rincón,14,37.64451486359593,42.51814291433638,30.29812709909861
Sin Nombre,5,34.33017073222184,40.59899908360014,24.758854108372134
Calasanz,29,37.10502932220747,40.4026858103656,31.968052766131134
Bermejal-Los Alamos,0,39.68317977142986,41.89829243809614,37.07903288503101
Jesús Nazareno,4,40.64075655824059,44.619630813061754,36.540025974828474
Ocho de Marzo,1,30.851531024652346,34.78167762272208,25.43963448158523
Belencito,64,36.0817039021227,40.12270537449434,31.33036909809572
Cerro Nutibara,18,35.073407216988336,40.661117906968,30.66430096046877
Simón Bolívar,10,37.81969790831109,41.32272767006923,33.78911425233018
Cucaracho,15,35.5412111530511,41.109472811478874,29.74738003666442
Universidad de Antioquia,10,37.353488887653334,43.778649271319225,32.4282964754573
San Javier No.2,4,39.322293367937846,41.25288115243251,36.69428272840398
Brasilia,17,39.02896591659494,40.875710087577296,34.611519719797066
Bolivariana,15,39.9883899617655,43.195356797882155,35.78033391880904
Berlin,2,36.50433278761496,40.00366907710303,31.471102244943545
El Velódromo,22,38.13676581977426,41.90958676319338,33.88006330490916
Santa Mónica,152,38.24384331390895,41.22657721987647,32.0200660161409
Belén,20,39.82772043436688,43.83363479269448,34.822099475711205
El Pomar,5,36.042082566477276,38.74227115780615,33.026747322194744
Oriente,0,26.983371479675185,31.36677840050019,21.637012971907506
La Isla,0,37.44694823855521,40.45648251783757,30.50677487050189
La Sierra,0,31.468314967677816,37.95553203962596,25.30246786618824
María Cano-Carambolas,0,26.76806515948333,34.01366342978729,20.048673871817275
La Pilarica,13,34.520857791610545,38.6432972048994,30.84248390915465
El Corazón,9,34.76590394514104,41.01020164516136,29.569940228937263
Calle Nueva,0,42.78511190899082,46.600744860197885,38.60064624252294
La Frontera,0,38.42144021917197,41.7018306410063,33.29008332194126
Tejelo,29,38.956828963591434,44.37561395376827,32.931785736402865
Lorena,13,38.35801675341691,41.347842558615,34.23003881034563
La Francia,0,37.33875078618006,41.40371975224144,32.6275819671752
Plaza de Ferias,6,36.30645628364739,40.8525270297924,31.305848436722172
Miraflores,18,37.01017694856048,40.937234379835274,30.660734298217577
Los Ángeles,0,38.30033085591771,41.01763214377465,35.105051939187774
Alejandría,1,33.5646825957431,38.095819571464006,30.024388271651258
Metropolitano,0,36.831057309693584,40.45618517585472,32.529351090692955
Cuarta Brigada,4,38.09156839731969,41.65769362234844,32.70367008514608
Las Acacias,5,37.90334872550991,40.963835460515476,33.55520282943489
Los Naranjos,11,31.51012563306157,41.6044913002552,23.209747956988597
Aures No.1,18,37.72529766440549,42.384691596671644,28.337818209085224
Cataluña,10,33.369459771219844,39.038895757727175,23.79140580367996
Carpinelo,0,27.955266616988478,32.822557706195255,20.285557587480916
Andalucía,0,36.99223777615013,40.04052425818997,32.83355482263631
La Castellana,10,36.50893964173273,41.36909385568022,28.197233626527705
Moravia,3,39.672920949664444,43.85146798887528,32.48952363288979
San Benito,41,40.72559006481955,46.23115286727285,31.7014471894264
Carlos E. Restrepo,55,38.04735084076585,42.707025647812934,32.97874630412833
Robledo,13,35.91920816863718,40.269383022644796,28.84338798400308
Juan XXIII La Quiebra,0,36.16753074854104,40.08198641987647,30.319378224587734
Veinte de Julio,3,38.91692081438065,44.31765619503313,33.061521901101415
Altamira,76,36.29173818941805,40.775398644794095,32.543320347486436
Hospital San Vicente de Paúl,0,38.514914131109315,40.515480496735755,37.03103200950239
Las Lomas No.2,17,31.74424907405712,36.011273191104806,27.7751824007783
Tricentenario,127,36.42641841006735,41.919840845774054,31.026908359535092
Villa Niza,0,39.015119219648504,41.357799509932505,33.97234993872327
Laureles,10,37.23942851613137,41.07187460774373,34.27670234395721
Santa Rosa de Lima,0,35.138553945137325,40.18556718559614,29.547054213512244
Santa Lucía,9,37.22447274155655,40.56392716255436,33.27076408528959
La Floresta,6,37.57756053400374,41.17188891361499,33.274479331402866
Las Mercedes,6,37.21360380825094,42.27977316534096,29.481071588469362
Boston,7,38.54298420145963,41.69321134029809,34.222162594009866
